ID|CONGLOMERADO|NSELV|VIVREM|NSELVREMP|ID_MUESTRA|ESTRATO|DOMINIO|PERIODO|CCDD|DEPARTAMENTO|CCPP|PROVINCIA|CCDI|DISTRITO|CODCCPP|NOMCCPP|ZONA|MANZANA|AER_INI|AER_FIN|AREA|GPS_LONG|GPS_LAT|GPS_ALT|RESVIV|RFINAL|VIVIENDA|TOHOGAR|HOGAR_ID|C1P101|C1P101_O|C1P102|C1P102_O|C1P103|C1P103_O|C1P104|C1P104_O|C1P105|C1P105_O|C1P106|C1P106_O|C1P107|C1P107_O|C1P108|C1P109|C1P110_1|C1P110_2|C1P110_3|C1P110_4|C1P110_5|C1P110_6|C1P110_7|C1P111|C1P112_1|C1P112_1_COD|C1P112_2|C1P112_2_COD|C1P112_3|C1P112_3_COD|C1P200|FACTOR_VIV
68524|00118|0010|0||1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|059|||1|-80.448163|-3.5643464|24.0|1|1|001|1|1|1||5||4||5||1||1||1||4|3|1|2|2|1|1|2|1|2|||||||2|4810.55151984834
68557|00118|0043|0||1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|059|||1|-80.448629|-3.5645983|31.0|1|1|002|1|1|1||1||4||5||1||1||1||5|3|1|2|2|1|1|2|1|2|||||||1|4810.55151984834
68572|00118|0058|0||1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|060A|||1|-80.448181|-3.5654322|45.0|1|1|003|1|1|1||1||4||5||1||1||1||5|3|1|1|2|1|1|2|1|2|||||||2|4810.55151984834
68607|00118|0093|0||1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|060A|||1|-80.448638|-3.5657484|40.0|1|1|004|1|1|1||1||4||5||1||1||1||3|2|1|2|1|1|1|2|1|2|||||||4|4810.55151984834
68662|00118|0148|0||1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|072F|||1|-80.444553|-3.5681017|42.0|1|1|006|1|1|1||1||4||3||1||1||1||3|2|1|1|1|1|1|2|1|2|||||||1|4810.55151984834
68677|00118|0163|0||1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|075|||1|-80.444225|-3.5688565|46.0|1|1|007|1|1|1||1||4||5||1||1||1||3|2|1|1|1|1|1|1|1|2|||||||1|4810.55151984834
68711|00118|0197|0||1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|082|||1|-80.442945|-3.5686821|53.0|1|1|008|1|1|1||1||4||5||1||1||1||4|2|1|2|2|1|1|2|1|2|||||||2|4810.55151984834
68539|00118|0025|1|0109|1|||5|24|TUMBES|01|TUMBES|01|TUMBES|0001|TUMBES|00700|059|||1|-80.448155|-3.5649835|33.0|1|1|009|1|1|1||1||4||5||1||1||1||2|1|2|2|2|2|2|2|1|2|||||||1|4810.55151984834
68720|00344|0004|0||1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|017|||1|-80.234666|-3.5741810|63.0|1|1|001|1|1|1||5||4||5||1||1||1||4|3|1|2|2|1|1|2|1|2|||||||1|4810.55151984834
68752|00344|0036|0||1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|019D|||1|-80.235339|-3.5739111|60.0|1|1|003|1|1|1||1||4||5||1||1||1||4|3|1|1|1|1|2|2|1|2|||||||1|4810.55151984834
68762|00344|0046|0||1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|021A|||1|-80.236068|-3.5719664|62.0|1|1|004|1|1|1||1||4||5||1||8|RED PUBLICA DE LA CASA DEL VECINO|8|UTILIZA BAÑO DE SU VECINO|3|2|1|2|2|1|1|2|1|2|||||||2|4810.55151984834
68782|00344|0066|0||1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|022|||1|-80.235578|-3.5713099|60.0|1|1|005|1|1|1||5||4||5||1||1||1||2|1|2|2|2|2|2|2|2|2|||||||1|4810.55151984834
68793|00344|0077|0||1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|023A|||1|-80.236171|-3.5729669|59.0|1|1|006|1|1|1||1||4||5||1||1||1||5|3|1|1|2|1|1|2|1|2|||||||1|4810.55151984834
68742|00344|0026|1|0016|1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|019D|||1|-80.235376|-3.5727546|79.0|1|1|009|1|1|1||1||4||5||1||1||1||4|3|1|2|2|1|2|2|1|2|||||||1|4810.55151984834
68772|00344|0056|1|0098|1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|021B|||1|-80.235633|-3.5712000|56.0|1|1|010|1|1|1||1||4||5||1||1||1||5|3|1|2|2|1|1|2|1|2|||||||1|4810.55151984834
68836|00344|0120|1|0110|1|||5|24|TUMBES|03|ZARUMILLA|04|PAPAYAL|0001|PAPAYAL|00100|028B|||1|-80.237339|-3.5750456|54.0|1|1|012|1|1|1||5||4||6||1||8|RED PUBLICA DE LA CASA DEL VECINO|5||3|2|1|1|2|2|2|2|2|2|||||||2|4810.55151984834
62408|0056501|0007|0||1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|001B|||1|-81.044259|-4.1043908|13.0|1|1|001|1|1|1||1||4||5||1||1||1||4|3|1|1|1|1|1|1|1|2|||||||5|4810.55151984834
62429|0056501|0028|0||1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|001D|||1|-81.044702|-4.1047665|16.0|1|1|002|1|1|1||5||4||6||1||4||5||3|2|1|2|2|2|2|2|2|2|||||||1|4810.55151984834
62439|0056501|0038|0||1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|001D|||1|-81.045050|-4.1047822|12.0|1|1|003|1|1|1||1||1||5||1||1||1||5|4|1|1|2|2|1|2|1|2|||||||1|4810.55151984834
62462|0056501|0061|0||1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|002B|||1|-81.044457|-4.1052934|11.0|1|1|004|1|1|1||1||4||5||1||1||1||4|3|1|2|1|1|1|1|1|2|||||||1|4810.55151984834
62473|0056501|0072|0||1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|003B|||1|-81.042728|-4.1035410|11.0|1|1|005|1|1|1||1||1||3||1||1||1||5|3|1|2|2|1|1|2|1|2|||||||2|4810.55151984834
62495|0056501|0094|0||1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|003B|||1|-81.044162|-4.1046632|10.0|1|1|006|1|1|1||2||1||3||1||1||1||5|3|1|1|2|1|1|2|1|2|||||||1|4810.55151984834
